complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1889823206396259, 'nb_iterations': 2}",1402.169,37.69,0.001,1364,7232.641,7230.051,0.0,3,0.5333333333333333,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=200), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1889823206396259, 'nb_iterations': 3}",1411.947,36.814,0.0,1375,5320.277,5320.277,0.0,0,0.5333333333333333,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=200), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28267472493896567, 'nb_iterations': 2}",1422.555,81.3,0.0,1341,13629.602,13629.602,0.0,0,0.8,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28267472493896567, 'nb_iterations': 3}",935.088,65.38,0.0,870,13614.461,13592.738,0.0,22,0.8,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36284087522566594, 'nb_iterations': 2}",978.896,111.529,0.0,867,27946.914,27946.914,0.0,0,0.8666666666666667,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36284087522566594, 'nb_iterations': 3}",979.162,111.916,0.0,867,27956.449,27956.449,0.0,0,0.8666666666666667,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4380223900535559, 'nb_iterations': 2}",1048.773,183.952,0.0,865,48791.25,48791.25,0.0,0,0.8666666666666667,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4380223900535559, 'nb_iterations': 3}",1049.632,183.799,0.0,866,48802.531,48802.531,0.0,0,0.8666666666666667,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5109890117861482, 'nb_iterations': 2}",1139.705,274.31,0.0,865,76707.918,76707.918,0.0,0,0.8666666666666667,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5109890117861482, 'nb_iterations': 3}",1137.158,274.298,0.0,863,76709.258,76709.258,0.0,0,0.8666666666666667,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
