complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1889823206396259, 'nb_iterations': 2}",1070.345,29.847,0.0,1040,7229.652,7223.062,0.0,7,0.6666666666666666,"{'Estimator': RandomForestClassifier(max_depth=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1889823206396259, 'nb_iterations': 3}",1074.061,30.294,0.0,1044,5320.398,5318.395,0.0,2,0.6666666666666666,"{'Estimator': RandomForestClassifier(max_depth=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28267472493896567, 'nb_iterations': 2}",1093.32,65.396,0.0,1028,9307.074,9307.074,0.0,0,0.8,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28267472493896567, 'nb_iterations': 3}",1095.718,62.674,0.0,1033,5373.363,5373.363,0.0,0,0.8,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36284087522566594, 'nb_iterations': 2}",1156.502,120.037,0.0,1036,16440.453,16284.855,0.0,156,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36284087522566594, 'nb_iterations': 3}",1148.738,128.389,0.0,1020,27972.941,27972.434,0.0,1,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4380223900535559, 'nb_iterations': 2}",1252.184,207.771,0.0,1044,48770.578,48770.578,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4380223900535559, 'nb_iterations': 3}",1220.796,209.565,0.0,1011,48799.859,48799.859,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5109890117861482, 'nb_iterations': 2}",1332.92,315.038,0.0,1018,76719.961,76719.961,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5109890117861482, 'nb_iterations': 3}",1317.296,311.287,0.0,1006,76710.656,76710.656,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5839659827288969, 'nb_iterations': 2}",1442.397,430.711,0.0,1012,112527.102,112527.102,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5839659827288969, 'nb_iterations': 3}",1456.361,432.683,0.0,1024,112523.07,112523.07,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.6597367792591362, 'nb_iterations': 2}",1604.067,586.613,0.0,1017,157399.133,157399.133,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.6597367792591362, 'nb_iterations': 3}",1598.315,587.863,0.0,1010,157398.809,157398.809,0.0,0,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
