complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
alpha,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,
exact,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,RandomForestClassifier()
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,1
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,2
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,100
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,True
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,Landscape()
,898.176,7.736,0.0,890,2.586,0.012,0.0,3,0.7333333333333333,100
