complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.19193264284709646, 'nb_iterations': 2}",1130.077,27.168,0.0,1103,2808.344,2806.305,0.0,2,0.47619047619047616,"{'Estimator': RandomForestClassifier(max_depth=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.19193264284709646, 'nb_iterations': 3}",1133.199,26.465,0.0,1107,2409.27,2409.266,0.0,0,0.3333333333333333,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=200), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.2866346222937159, 'nb_iterations': 2}",1171.765,57.096,0.0,1115,8420.539,8420.535,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.2866346222937159, 'nb_iterations': 3}",1154.45,56.118,0.0,1098,5220.84,5220.84,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=10, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36815064596003144, 'nb_iterations': 2}",1211.59,100.244,0.0,1111,12641.117,12641.117,0.0,0,0.38095238095238093,"{'Estimator': RandomForestClassifier(min_samples_split=10, n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36815064596003144, 'nb_iterations': 3}",1213.7,105.785,0.0,1108,18892.926,18892.926,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.444201485041244, 'nb_iterations': 2}",1272.911,173.988,0.0,1099,34274.02,34274.02,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.444201485041244, 'nb_iterations': 3}",1282.626,173.644,0.0,1109,34211.297,34211.293,0.0,0,0.3333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=5), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5179309835339965, 'nb_iterations': 2}",1369.046,262.132,0.0,1107,54730.82,54730.82,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(min_samples_split=5), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5179309835339965, 'nb_iterations': 3}",1354.568,258.059,0.0,1097,54687.297,54687.297,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
